,entity-type,precision,recall,f1-score,support
0,0,0.8791844606695137,0.9551162569216746,0.9155787414411477,73501.0
1,alarm_type,0.0,0.0,0.0,30.0
2,app_name,0.7608695652173914,0.4605263157894737,0.5737704918032787,76.0
3,artist_name,0.4852686308492201,0.4437400950871632,0.4635761589403974,631.0
4,audiobook_author,0.0,0.0,0.0,29.0
5,audiobook_name,0.0,0.0,0.0,298.0
6,business_name,0.3747323340471092,0.18305439330543932,0.2459592410400562,956.0
7,business_type,0.7142857142857143,0.4032258064516129,0.5154639175257731,372.0
8,change_amount,0.5555555555555556,0.20958083832335328,0.3043478260869565,167.0
9,coffee_type,1.0,0.1836734693877551,0.3103448275862069,49.0
10,color_type,0.8017241379310345,0.5254237288135594,0.6348122866894198,177.0
11,cooking_type,0.0,0.0,0.0,27.0
12,currency_name,0.029411764705882353,0.0011299435028248588,0.002176278563656148,885.0
13,date,0.8766500757411816,0.886433260393873,0.8815145250788815,4570.0
14,definition_word,0.1601423487544484,0.08064516129032258,0.10727056019070322,558.0
15,device_type,0.7878426698450537,0.8031591737545565,0.7954271961492179,823.0
16,drink_type,0.0,0.0,0.0,23.0
17,email_address,0.8688524590163934,0.6235294117647059,0.726027397260274,170.0
18,email_folder,0.96875,0.5636363636363636,0.7126436781609196,55.0
19,event_name,0.5581314878892734,0.6073042168674698,0.5816804904435628,2656.0
20,food_type,0.5337078651685393,0.3759894459102902,0.4411764705882352,758.0
21,game_name,0.0,0.0,0.0,331.0
22,game_type,0.0,0.0,0.0,3.0
23,general_frequency,0.68,0.5018450184501845,0.5774946921443738,271.0
24,house_place,0.8909574468085106,0.7736720554272517,0.8281829419035847,433.0
25,ingredient,0.0,0.0,0.0,52.0
26,joke_type,0.8666666666666667,0.52,0.65,75.0
27,list_name,0.06299212598425197,0.013675213675213675,0.022471910112359546,585.0
28,meal_type,0.7053571428571429,0.6991150442477876,0.7022222222222223,113.0
29,media_type,0.6977777777777778,0.311199207135778,0.4304318026045237,1009.0
30,movie_name,0.0,0.0,0.0,50.0
31,movie_type,0.0,0.0,0.0,24.0
32,music_album,0.0,0.0,0.0,8.0
33,music_descriptor,0.21428571428571427,0.08053691275167785,0.1170731707317073,149.0
34,music_genre,0.7393483709273183,0.7248157248157249,0.7320099255583127,407.0
35,news_topic,0.09657594381035997,0.17001545595054096,0.12318029115341546,647.0
36,order_type,0.8529411764705882,0.5603864734299517,0.6763848396501458,207.0
37,person,0.6385780118499013,0.48403193612774453,0.5506670451319897,2004.0
38,personal_info,0.5945945945945946,0.13924050632911392,0.22564102564102564,158.0
39,place_name,0.6385081287854638,0.6554319371727748,0.6468593573389311,3056.0
40,player_setting,0.5306122448979592,0.15204678362573099,0.23636363636363636,342.0
41,playlist_name,0.45689655172413796,0.24311926605504589,0.31736526946107785,218.0
42,podcast_descriptor,0.0,0.0,0.0,277.0
43,podcast_name,0.0,0.0,0.0,205.0
44,radio_name,0.0,0.0,0.0,963.0
45,relation,0.7967032967032966,0.6387665198237885,0.7090464547677261,454.0
46,song_name,0.14850136239782016,0.18166666666666667,0.1634182908545727,600.0
47,sport_type,0.0,0.0,0.0,17.0
48,time,0.7822784810126582,0.8256513026052105,0.8033799155021124,2994.0
49,time_zone,0.7037037037037037,0.2992125984251969,0.41988950276243103,127.0
50,timeofday,0.8539823008849557,0.9323671497584541,0.8914549653579678,414.0
51,transport_agency,0.5454545454545454,0.08333333333333333,0.14457831325301204,72.0
52,transport_descriptor,0.0,0.0,0.0,35.0
53,transport_name,0.0,0.0,0.0,58.0
54,transport_type,0.5,0.014678899082568808,0.028520499108734405,545.0
55,weather_descriptor,0.8237704918032787,0.5352862849533955,0.648910411622276,751.0
56,accuracy,0.8235006940123486,0.8235006940123486,0.8235006940123486,0.8235006940123486
57,macro avg,0.4317070562335171,0.3008261101972066,0.3367377959070504,104465.0
58,weighted avg,0.7902214265754207,0.8235006940123486,0.8010049127923056,104465.0
