,entity-type,precision,recall,f1-score,support
0,0,0.8838838965000063,0.9552934125211137,0.9182023501685705,73412.0
1,alarm_type,0.0,0.0,0.0,30.0
2,app_name,0.8048780487804879,0.4342105263157895,0.5641025641025641,76.0
3,artist_name,0.45662847790507366,0.4421553090332805,0.4492753623188406,631.0
4,audiobook_author,0.0,0.0,0.0,29.0
5,audiobook_name,0.0,0.0,0.0,298.0
6,business_name,0.40336134453781514,0.19433198380566802,0.26229508196721313,988.0
7,business_type,0.6894977168949772,0.40591397849462363,0.5109983079526227,372.0
8,change_amount,0.5277777777777778,0.2275449101796407,0.3179916317991632,167.0
9,coffee_type,0.8181818181818182,0.1836734693877551,0.3,49.0
10,color_type,0.75,0.4406779661016949,0.5551601423487544,177.0
11,cooking_type,0.0,0.0,0.0,27.0
12,currency_name,0.034482758620689655,0.0010976948408342481,0.0021276595744680856,911.0
13,date,0.8732972972972973,0.8838074398249453,0.878520935290919,4570.0
14,definition_word,0.1695501730103806,0.08781362007168458,0.11570247933884298,558.0
15,device_type,0.8252788104089219,0.8092345078979344,0.8171779141104294,823.0
16,drink_type,0.0,0.0,0.0,23.0
17,email_address,0.8484848484848485,0.4609053497942387,0.5973333333333334,243.0
18,email_folder,0.96875,0.5636363636363636,0.7126436781609196,55.0
19,event_name,0.561182868796737,0.6216114457831325,0.5898535191139692,2656.0
20,food_type,0.5469613259668509,0.391820580474934,0.4565718677940046,758.0
21,game_name,0.0,0.0,0.0,331.0
22,game_type,0.0,0.0,0.0,3.0
23,general_frequency,0.6941747572815534,0.5296296296296297,0.6008403361344539,270.0
24,house_place,0.8976377952755905,0.789838337182448,0.8402948402948403,433.0
25,ingredient,0.0,0.0,0.0,52.0
26,joke_type,0.8478260869565217,0.52,0.6446280991735537,75.0
27,list_name,0.09259259259259259,0.017094017094017096,0.028860028860028867,585.0
28,meal_type,0.7117117117117117,0.6991150442477876,0.7053571428571429,113.0
29,media_type,0.6646942800788954,0.333994053518335,0.4445910290237467,1009.0
30,movie_name,0.0,0.0,0.0,50.0
31,movie_type,0.0,0.0,0.0,24.0
32,music_album,0.0,0.0,0.0,8.0
33,music_descriptor,0.17543859649122806,0.06711409395973154,0.0970873786407767,149.0
34,music_genre,0.7591623036649214,0.7125307125307125,0.73510773130545,407.0
35,news_topic,0.09188741721854304,0.17156105100463678,0.1196765498652291,647.0
36,order_type,0.8591549295774648,0.5893719806763285,0.6991404011461317,207.0
37,person,0.6225519287833828,0.5231920199501247,0.5685636856368563,2005.0
38,personal_info,0.5945945945945946,0.14285714285714285,0.23036649214659682,154.0
39,place_name,0.6235004613964934,0.6630683676807327,0.6426759670259987,3057.0
40,player_setting,0.5463917525773195,0.15497076023391812,0.24145785876993167,342.0
41,playlist_name,0.4657534246575342,0.3119266055045872,0.37362637362637363,218.0
42,podcast_descriptor,0.0,0.0,0.0,277.0
43,podcast_name,0.0,0.0,0.0,205.0
44,radio_name,0.0,0.0,0.0,964.0
45,relation,0.7851458885941645,0.6519823788546255,0.7123947051744884,454.0
46,song_name,0.13802083333333334,0.17666666666666667,0.15497076023391815,600.0
47,sport_type,0.0,0.0,0.0,17.0
48,time,0.8095706325794821,0.8249832999331997,0.8172043010752689,2994.0
49,time_zone,0.7678571428571429,0.33076923076923076,0.4623655913978494,130.0
50,timeofday,0.8444444444444444,0.9178743961352657,0.8796296296296297,414.0
51,transport_agency,0.4444444444444444,0.05555555555555555,0.09876543209876543,72.0
52,transport_descriptor,0.0,0.0,0.0,35.0
53,transport_name,0.0,0.0,0.0,58.0
54,transport_type,0.35294117647058826,0.011009174311926606,0.021352313167259787,545.0
55,weather_descriptor,0.8058252427184466,0.5525965379494008,0.6556082148499209,751.0
56,accuracy,0.8246067286714892,0.8246067286714892,0.8246067286714892,0.8246067286714892
57,macro avg,0.4242414214547156,0.3009183859716007,0.33611645874122903,104508.0
58,weighted avg,0.7923547521598447,0.8246067286714892,0.8033619464304831,104508.0
